word,n_morph
алмаз,2
алмазно-расточный,7
алмазно-твердый,5
алмазный,3
алмазодобывающий,6
алмазозаменитель,7
ало-кирпичный,5
ало-красный,4
алогизм,4
алогический,4
алогичный,4
алойный,3
алоэ,1
алоэвидный,4
алтаец,3
алтайка,3
алтайский,3
алтарный,3
алтарь,2
алтей,2
алтейный,3
алтын,2
алтынник,3
алтынница,3
алтынничать,4
алтынный,3
алудур,2
алунит,2
алфавит,2
алфавитно-цифровой,6
алфавитный,3
алхимик,4
алхимический,4
алхимия,3
алчба,3
алчность,4
алчный,3
алчущий,3
алый,2
алыча,2
алычовый,3
аль,1
альбатрос,2
альбедо,1
альбедометр,4
альбинизм,3
альбинос,2
альбиноска,3
альбит,2
альбом,2
альбом-буклет,3
альбумин,2
альбуминный,3
альбуминовый,3
альбуминоид,3
альбуминурия,4
альвеола,2
альвеолярный,3
алькальд,2
альма-матер,2
альманах,2
альманашный,3
альпака,1
альпари,1
альпеншток,4
альпийский,4
альпинарий,4
альпиниада,4
альпинизм,4
альпинист,4
альпинистка,5
альпинистский,5
альсекко,1
альт,2
альтазимут,3
альтеративный,4
альтерация,3
альтерированный,5
альтернат,3
альтернатива,4
альтернатор,3
альтернационный,4
альтернация,3
альтернирующий,5
альтиметр,4
альтист,3
альтистка,4
альтовый,3
альтруизм,3
альтруист,3
альтруистический,4
альтруистичный,4
альтруистка,4
альфа,2
альфа-железо,3
альфа-лучи,3
альфа-радиоактивный,7
альфа-радиометр,6
альфа-распад,4
альфа-спектр,3
альфа-спектрометр,5
альфа-спектроскопия,6
альфа-стабилизатор,5
альфа-терапия,4
альфа-частица,4
альфаметр,3
альфатрон,3
альфонс,2
альфреско,1
альянс,2
алюминат,3
алюминиево-калиевый,7
алюминиево-магниевый,7
алюминиевый,4
алюминий,3
алюминийорганический,6
алюминон,3
алюминотермия,5
алюмоаммонийный,6
алюмокалиевый,6
алюмомедь,4
алюмосиликат,4
алюмосиликатный,5
аляповатый,2
аляскит,3
аляфуршет,1
амазонит,3
амазонка,3
амазонский,3
амальгама,2
амальгаматор,3
амальгамационный,4
амальгамация,3
амальгамировальный,5
амальгамирование,5
амальгамированный,5
амальгамировать,4
амальгамироваться,5
амальгамический,3
амальгамный,3
аманат,2
аманатский,3
амарант,2
амариллис,2
аматер,2
аматерка,3
амба,1
амбар,2
амбаришко,3
амбарище,3
амбарный,3
амбарушка,3
амбициозный,3
амбиционный,3
амбиция,2
амбра,2
амбразура,2
амбре,1
амбровый,3
амброзия,2
амбулатория,2
амбулаторно-поликлинический,6
амбулаторный,3
амбушюр,2
амвон,2
амеба,2
амебиаз,3
амебный,3
амебовидный,5
амебоноситель,6
амебообразный,5
амебоцит,4
американец,4
американизация,5
американизированный,7
американизировать,6
американизироваться,7
американизм,4
американист,4
американистика,5
американка,4
американо-английский,6
американо-китайский,6
американо-советский,6
американоидный,5
американский,4
америций,3
аметист,2
аметистовый,3
амиант,2
амиантовый,3
амид,2
амидирование,5
амидол,3
амидопирин,4
амикошонский,3
амикошонство,3
амикошонствовать,4
амилацетат,4
амилнитрит,4
амиловый,3
амилоза,3
амилоид,3
амилоидоз,4
амилопектин,5
амин,2
аминогруппа,4
аминокислота,6
аминокислотный,7
аминопласт,4
аминосоединение,6
аминоспирт,4
аминь,1
амистад,2
амми,1
аммиак,2
аммиакат,3
аммиачнокислый,6
аммиачный,3
